name,type,subtype,region,address,city,state,zip,lat,lon,total_assets_thousands,total_assets_formatted,established_year
AB&T,Bank,Community Bank,Central Georgia,"2815 Meredyth Dr, Albany, GA 31707",Albany,GA,31707,31.61118701641037,-84.22056297036845,"279,792",$279.8M,1999
AB&T,Bank,Community Bank,Central Georgia,"241 Pine Ave, Albany, GA 31701",Albany,GA,31701,31.578888986994926,-84.15299200646253,"279,792",$279.8M,2004
AB&T,Bank,Community Bank,Central Georgia,"2815 Meredyth Dr, Albany, GA 31707",Albany,GA,31707,31.6111870164104,-84.2205629703684,"279,792",$279.8M,1999
"Affinity Bank, National Association",Bank,Community Bank,Metro Atlanta,"400 Galleria Pkwy Se, Atlanta, GA 30339",Atlanta,GA,30339,33.8868689927677,-84.46163698307315,"881,423",$881.4M,2002
"Affinity Bank, National Association",Bank,Community Bank,Metro Atlanta,"3175 Highway 278, Covington, GA 30014",Covington,GA,30014,33.602934096332,-83.857342439677,"881,423",$881.4M,1928
Altamaha Bank & Trust Company,Bank,Community Bank,Central Georgia,"206 Jackson St, Vidalia, GA 30474",Vidalia,GA,30474,32.2158720121793,-82.412043978652,"333,342",$333.3M,1966
Altamaha Bank & Trust Company,Bank,Community Bank,Central Georgia,"1726 Mount Vernon Rd, Vidalia, GA 30474",Vidalia,GA,30474,32.21825000002,-82.441028013099,"333,342",$333.3M,1977
Altamaha Bank & Trust Company,Bank,Community Bank,Central Georgia,"57 N Tallahassee St, Hazlehurst, GA 31539",Hazlehurst,GA,31539,31.87050801323285,-82.59606002950858,"333,342",$333.3M,1997
Altamaha Bank & Trust Company,Bank,Community Bank,Central Georgia,"203 W Main Street, Uvalda, GA 30473",Uvalda,GA,30473,32.036289,-82.508982,"333,342",$333.3M,2003
"American Commerce Bank, National Association",Bank,Community Bank,Central Georgia,"400 Us Highway 27 Byp, Bremen, GA 30110",Bremen,GA,30110,33.7071430095039,-85.161775008385,"485,001",$485.0M,2004
